Rank,model,ConsensusScore,z_combined_evaluation_scores,z_evaluation_results,Judge_Model,Judge_Model.1
1,llama3.3-70b-sft1,68.19,0.54,1.11,gpt-4o-mini,gpt-4o-mini
2,llama3.3-70b-lora1,65.18,,0.67,gpt-4o-mini,gpt-4o-mini
3,qwen3-235b-a22b,60.09,0.39,0.45,gpt-4o-mini,gpt-4o-mini
4,llama4_maverick,58.6,0.25,0.44,gpt-4o-mini,gpt-4o-mini
5,llama-3.3-70b-instruct,57.46,0.24,0.34,gpt-4o-mini,gpt-4o-mini
6,llama3.1-8b-lora1,57.29,-0.06,0.62,gpt-4o-mini,gpt-4o-mini
7,llama4_scout,56.72,0.2,0.31,gpt-4o-mini,gpt-4o-mini
8,llama4-109b-lora1,56.02,-0.03,0.46,gpt-4o-mini,gpt-4o-mini
9,llama-3.1-405b-instruct,54.84,-0.07,0.38,gpt-4o-mini,gpt-4o-mini
10,deepseek-r1,54.07,-0.23,0.47,gpt-4o-mini,gpt-4o-mini
11,deepseek-r1-32b,52.13,-0.06,0.11,gpt-4o-mini,gpt-4o-mini
12,llama3.1-8b-f2,51.99,0.02,,gpt-4o-mini,gpt-4o-mini
13,llama-3.1-70b-instruct,50.36,0.02,-0.15,gpt-4o-mini,gpt-4o-mini
14,nemotron-4-340b-instruct,48.07,-0.62,0.26,gpt-4o-mini,gpt-4o-mini
15,llama-3.1-8b-instruct,47.86,-0.26,-0.12,gpt-4o-mini,gpt-4o-mini
16,deepseek-r1-8b,42.0,-0.81,-0.15,gpt-4o-mini,gpt-4o-mini
17,phi-3-mini-128k-instruct,27.16,-1.74,-0.7,gpt-4o-mini,gpt-4o-mini
18,phi-3-medium-128k-instruct,2.84,-2.6,-2.27,gpt-4o-mini,gpt-4o-mini
